SE,NewKPI1,NewKPI2,NewKPI3,KPI0012,KPI0017,KPI0068,KPI0077,KPI0116,KPI3226,TS,SI,IT,TSI,MarketArea,ReportYearNumber
0.207849556,49.02782596,93.84108528,23.31065951,0.85688151,623.5311437,113.8333333,164098.4167,43.8490566,0.144173068,4600.824397,2187.497587,1142.870957,107248.251,Ford - Northeast,2008
0.906844171,391.5094637,95.63121859,47.46189533,0.818890223,797.3145269,101.75,156410.25,54.53692615,0.148528203,37440.5271,4538.838887,18581.78119,1776998.378,Ford - Northeast,2009
1.496453901,410.01,108.08,35.25,0.782927042,847.0891008,135.0833333,179419.6667,61.30780781,0.123223131,44313.8808,3809.82,14452.8525,1562064.298,Ford - Northeast,2010
1.62962963,274.46,99.39,41.31,0.754877016,898.4738368,149.4166667,195225.0833,60.22675159,0.120038384,27278.5794,4105.8009,11337.9426,1126878.115,Ford - Northeast,2011
1.58125,346.68,126.04,40,0.775315608,876.0728007,154.25,206817.5,81.05263158,0.117887899,43695.5472,5041.6,13867.2,1747821.888,Ford - Northeast,2012
0.050765984,82.79959269,138.7114992,120.6134649,0.895798679,176.0026936,8,17945.58333,179.2,0.159218853,11485.25564,16730.47454,9986.745767,1385276.477,Ford - Northeast,2008
0.857343879,454.5103507,100.8184186,54.87029205,0.979987917,113.440593,5.166666667,16323.5,169.3793103,0.183312949,45823.01479,5531.936073,24939.11568,2514322.204,Ford - Northeast,2009
0.4,241.05,65.45,36.25,0.840755225,131.6105645,4.666666667,15912.25,129.2631579,0.175810681,15776.7225,2372.5625,8738.0625,571906.1906,Ford - Northeast,2010
0.535947712,273.89,49.88,53.67,0.778210234,131.7244073,6.833333333,20324.5,93.97959184,0.167410826,13661.6332,2677.0596,14699.6763,733219.8538,Ford - Northeast,2011
0.520710059,123.82,53.99,56.33,0.843901834,154.5386035,7.416666667,20846.91667,108.7058824,0.155091701,6685.0418,3041.2567,6974.7806,376568.4046,Ford - Northeast,2012
1.731188101,355.372944,99.52169565,145.5016293,0.837889165,482.2788406,41,75762.91667,71.16245487,0.163794507,35367.31798,14480.56887,51707.34236,5146002.389,Ford - Great Lakes,2008
1.335857098,450.2524945,-0.302660433,31.51958165,0.816139087,455.1027772,42.33333333,78298.75,86.47887324,0.145733752,-136.2736149,-9.53973023,14191.77026,-4295.287333,Ford - Great Lakes,2009
2.347490347,721.16,205.75,28.78,0.740576027,501.2441762,51.16666667,100151.4167,63.28133705,0.139243849,148378.67,5921.485,20754.9848,4270338.123,Ford - Great Lakes,2010
1.996932515,530.8,166.28,36,0.744823491,542.0147456,54.41666667,118847.8333,83.44887781,0.139043633,88261.424,5986.08,19108.8,3177411.264,Ford - Great Lakes,2011
1.671087533,598.03,122.96,31.42,0.761414633,535.4177106,53.25,108308.3333,59.91022444,0.135001937,73533.7688,3863.4032,18790.1026,2310431.016,Ford - Great Lakes,2012
0.459673008,534.2560262,72.90227912,66.80089435,0.783515426,379.8095528,54.08333333,109222.5,101.9033457,0.194729131,38948.48194,4869.937445,35688.78036,2601793.427,Ford - Northeast,2008
